Name, Identification Number,Country Code,Mutation,Disorder,Professional Exposure,Gender,Age,Age At Diagnosis,Age Of Death,Physician
Bart Trott,1385480432851,LR,AXIN2,Thyrotoxic Periodic Paralysis Megalencephalic Leukoencephalopathy With Subcortical Cysts,13-Butadiene,M,45,45,100,Elizabet Hafner
Vikki Lamere,4034381737330,GR,LEPREL1,Acute Chest Syndrome,Methylene chloride,M,45,45,100,Julissa Copeland
Wilson Peaslee,7867286340855,MX,ADCY6,Sideroblastic Anemia Acquired;Pyridoxine-Responsive Sideroblastic Anemia,Lead,M,45,45,100,Layne Swearngin
Bernadine Leis,8247515743536,TD,FHL3,Maturity-Onset Diabetes Of The Young Type11;Type 11;Keratolytic Winter Erythema,,F,45,45,100,Vicenta Brummett
Brenda RubinoJona Goldsmith,6818720671760,GS,CHEK2,Spindle Cell Hemangioma,13-Butadiene,F,45,45,45,Lashawnda Reaux
Prudence Mccorvey,5804286310637,LK,ARSA,Liver Cancer,,F,45,45,100,Lauretta Depriest
Cletus Fann,6326040334620,MV,ADAR,Huntington Disease-Like Syndrome Due To C9Orf72 Expansions;C9Orf72-Related Amyotrophic Lateral Sclerosis/frontotemporal Dementia;Ftdals1,,M,45,45,100,Wynona Doby
Demetrice Linzey,7600612806387,CL,CELSR1,Squamous Cell Carcinoma Of The Head And Neck,,F,45,45,100,Leigha Donnell
Winnie Elliston,2463472558736,HU,ADAL,Prostate Carcinoma In Situ,,F,45,45,100,Eusebia Romans
Doreen Mcbean,1517245014025,FI,ALG10B,Aminoacylase 1 Deficiency;Syringomyelia;Systolic Heart Failure,,F,45,45,100,Dannie Pantano
Lidia Pilon,6125540042512,DJ,GRIA2,Hiv-1,,F,45,45,100,Rolf Kind
Tyron Leija,1372230558662,US,ADORA3,Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies;Type A;11;12;1 Show all 4,,M,45,45,100,Monroe Dewall
Zane Mellin,3620286015646,GU,COQ6,Adams-Oliver Syndrome 1;Oliver Syndrome Aplasia Cutis Congenita,,F,45,45,100,Fabiola Hust
Taina Saxton,6337703317615,US,CLLS5,Aneurysm;Intracranial Berry;8 Aneurysm,Methylene chloride,M,45,45,100,Kenda Mcgowan
Paulene Vandervoort,1741720536650,US,FADS2,Schizoid Personality Disorder Alexithymia,,F,45,45,100,Carleen Hough
Jill Hinesley,1776582544503,US,ACAA2,Primary Biliary Cirrhosis,,F,45,45,100,Alanna Blanton
Audra Spore,6280636348576,PY,CRCS10,Cystic Fibrosis Wolfram Syndrome,,F,45,45,45,Krissy Dow
Jarred Dory,1481857110041,FI,AASTH53,Cerebral Lipidosis;Central Nervous System Cancer,Asphalt fumes,M,45,45,100,Lauryn Deputy
Carletta Houde,5512087585557,KE,FIP1L1,Breast Cancer,,F,45,45,100,Lakiesha Via
Inga Harte,2400258228773,EC,ANKS4B,Multilocular Clear Cell Renal Cell Carcinoma;Hand;Foot And Mouth Disease;Clear Cell Renal Cell Carcinoma Show all 4,Asphalt fumes,F,45,45,100,Enola Fleenor
Ami Lampkin,5066013858147,TD,CCND3,Esophageal Cancer,13-Butadiene,M,45,45,100,Julianna Ewert
Marcelina Crume,3563854838220,BO,ATP5G2,Schizoid Personality Disorder Alexithymia,Asphalt fumes,F,45,45,100,Mellie Suydam
Shirleen Schrom,5527542807500,FI,ENSG00000206353,2-Methylbutyryl-Coa Dehydrogenase Deficiency Isovaleric Acidemia,Arsenic,F,45,45,100,Al Agnew
Ute Bufkin,7511203587038,US,KRT15,Spermatogenic Failure 5,,M,45,45,45,Josefine Villeneuve
Lavada Lindstrom,0337557123164,MH,CHRDL1,Rheumatoid Arthritis;Subacute Sclerosing Panencephalitis Type 1 Diabetes Mellitus,,M,45,45,100,Hermelinda Faw
Jamie Glick,7330333870658,PL,GLYAT,Spindle Cell Hemangioma,13-Butadiene,M,45,45,100,Jacquiline Brite
Una Castiglione,0755142864883,US,KIF23,Aortic Coarctation;Chagas Disease;Neuroepithelioma,,F,45,45,100,Elayne Wenner
Melita Clark,2286235605870,AZ,CILP,Wolff-Parkinson-White Syndrome,Arsenic,F,45,45,100,Palmer Blow
Trinh Lacasse,2314452758543,US,ENSG00000225130,Vitelliform Macular Dystrophy,Asphalt fumes,F,45,45,45,Cruz Isenhour
Rolande Troncoso,6328748312768,JO,CCNE1,Atrial Fibrillation;Familial;12;Coronary Artery Vasospasm;Cantu Syndrome,13-Butadiene,F,45,45,100,Cherri Simons
Magda Edmund,3307517080322,NI,DPH1,Central Nervous System Leukemia,Toluene,F,45,45,100,Jere Sakata
Virgina Line,5641427804455,US,HYAL3,Non-Small Cell Lung Carcinoma,Arsenic,F,45,45,100,Lupita Peachey
Cora Pond,5050425571126,JP,AMN,Spindle Cell Hemangioma Cervical Cancer,Lead,F,45,45,100,Georgetta Chynoweth
Reynalda Spinner,2282681866610,RS,HTC1,Hermansky Pudlak Syndrome 2;Hermansky-Pudlak Syndrome 1;Platelet Storage Pool Deficiency Show all 4,13-Butadiene,F,45,45,100,Barton Snipes
Lakiesha Via,5620255013433,FI,BAIAP2L1,Dermatitis;Atopic 6;Atopic Dermatitis Dermatitis,,M,45,45,100,Lelia Slade
Newton Fiscus,6405781026735,JP,BANF1,Inflammatory Skin And Bowel Disease;Neonatal;1;Heterotaxy Dilated Cardiomyopathy,Solvents,F,45,45,100,Larraine Bouska
Jarred Dory,2178833567253,MD,KIF21A,Sensorineural Deafness With Mild Renal Dysfunction;Hypokalemia;Bartter Syndrome Type 4A,,F,45,45,100,Dionne Cook
Theodore Kincer,5405740117873,FI,HGD,Breast Cancer;Cystoid Macular Dystrophy;Retinitis Pigmentosa 9,Methylene chloride,M,45,45,100,Demetrice Linzey
Livia Kroon,5745613408844,CV,GPX8,Aica-Ribosiduria Due To Atic Deficiency,,F,45,45,100,Grisel Failla
Jamie Glick,2265802104480,LB,EBP,Achalasia-Addisonianism-Alacrima Syndrome;Triple-A Syndrome,Asphalt fumes,M,45,45,45,Nicky Crisler
Nathanial Mungin,8671675646464,DE,AASTH25,Lung Cancer Patent Ductus Arteriosus,Arsenic,F,45,45,100,Lyn Vansant
Carie Senecal,4383346666687,US,APBA3,Aortic Valve Stenosis Hiv-1,,F,45,45,45,Joan Everitt
Estela Stricker,4643144050658,US,ASPN,Spastic Paraplegia 17;Bscl2-Related Neurologic Disorders/seipinopathy;Congenital Generalized Lipodystrophy Type 2,,M,45,45,100,Mariella Stermer
Al Hardaway,7487157324126,FI,AUNX1,Cholera,Metals toxic,M,45,45,45,Beatrice Brice
Deb Klar,1470246783540,ZW,CTSW,Hypoaldosteronism,,F,45,45,100,Viviana Millner
Maribel Parras,2326370617177,US,CCNE1,Eccrine Porocarcinoma,,F,45,45,100,Trinh Lacasse
Kitty Tempel,6751781322647,RE,CHP2,Aneurysm;Intracranial Berry;11 Aneurysm,Hydrogen sulfide,M,45,45,100,Faustino Coury
Noreen Sluss,4242735536105,RU,FOXD2,Non-Hodgkin Lymphoma Protein S Deficiency,Hydrogen sulfide,M,45,45,100,Niki Michelle
Portia Frausto,4108068206337,US,HBHR,Soft Palate Cancer;Hypophosphatasia;Gastrointestinal System Disease Show all 4,,F,45,45,100,Janelle Muhammad
Franchesca Ramer,4174280764653,US,GLRA1,Cataract 33;Posterior Polar Cataract Cataract,,F,45,45,100,Shira Zeledon
Luana Villano,4375225838001,FI,EJM9,Imperforate Anus,Toluene,F,45,45,100,Tiana WillertRashad Bull
Luana Villano,0533466737581,US,COL5A2,Obstructive Lung Disease;Myocardial Stunning;Angina Pectoris,Methylene chloride,M,45,45,45,Una Castiglione
Alfonso Widmer,0361741570362,BY,FUT9,Colorectal Cancer With Chromosomal Instability;Somatic;Colorectal Cancer Mosaic Variegated Aneuploidy Syndrome 1,,M,45,45,100,Lexie Gillins
Ellan Klopfenstein,3555777205800,US,HOXB9,Dermatitis;Atopic 7 Dermatitis,Diesel exhaust,F,45,45,100,Adell Matheson
Elisha ModlinKathleen Lavoie,6234136681633,GS,CELIAC13,Down Syndrome,Diesel exhaust,M,45,45,100,Morton Salazar
Carie Senecal,2828487725732,BF,CISH,Tibial Aplasia - Ectrodactyly,,F,45,45,45,Bronwyn Jarvie
Jenni Ruple,5383704563000,NR,FGFR1,Asperger Syndrome Susceptibility 4,,F,45,45,100,Kallie Hedge
Zora Estes,7325263546688,LC,COX7A2L,Schizophrenia,,F,45,45,100,Ismael Mcfaul
Aleshia Daw,4273662318746,FI,F7,Tracheitis Dermatophytosis,,M,45,45,100,Shavon Muma
Jon Hardaway,6132457767350,FI,FTL,Marasmus;Kwashiorkor Neonatal Lupus Erythematosus,,F,45,45,100,Gilberte Neville
Dianna Bolen,6686302822208,FI,ANIB4,Orofaciodigital Syndrome 13,,M,45,45,45,Renea Moreira
Dannielle Heffley,2578462204486,BR,KCNE3,Alopecia-Mental Retardation Syndrome 3,Asphalt fumes,F,45,45,100,Tammera Schwarz
Echo Roeder,2103283730601,US,ADRA2B,Periventricular Heterotopia With Microcephaly;Autosomal Recessive;Periventricular Nodular Heterotopia Show all 4,Methylene chloride,M,45,45,45,Earl Caddell
Lashawnda Reaux,0278208868532,LI,BZW1,Lung Cancer,,M,45,45,100,Tynisha Whittlesey
Maribel Parras,7187875285361,RU,AP2S1,Mental Retardation;Autosomal Dominant 14;Coffin-Siris Syndrome;Ovarian Clear Cell Carcinoma,,F,45,45,100,Tiana WillertRashad Bull
Edwin Boettger,4668300602284,FI,DWS,Hepatocellular Carcinoma,,M,45,45,100,Donald Silvia
Mozella Wan,5685685835754,SB,B4GALT6,Stomach Cancer;Glucocorticoid Resistance;Non-Hodgkin Lymphoma Show all 4,Methylene chloride,M,45,45,100,Tynisha Whittlesey
Kim Dang,8588637625447,US,GLO1,Diphyllobothriasis Anisakiasis,Arsenic,M,45,45,100,Talitha Machado
Palmer Blow,6742548670705,PE,CYB5R3,Benign Epilepsy With Centrotemporal Spikes,,M,45,45,100,Bradford Hugley
Giuseppina Krell,5062620753648,GB,DFNB20,Whim Syndrome,Lead,M,45,45,100,Noe Westervelt
Byron Balke,5024661836580,MW,AVPR1A,Infantile-Onset Ascending Hereditary Spastic Paralysis;Als2-Related Disorders;Juvenile Primary Lateral Sclerosis,Solvents,M,45,45,45,Constance Massengale
Livia Kroon,8820331652344,US,LDB3,Ascaridiasis;Canavan Disease;Neurologic Diseases,,F,45,45,100,Luana Villano
Garfield Kaspar,2724743244380,YE,CD79A,Hematologic Cancer;Burkitts Lymphoma;Mn1,Chromium,M,45,45,100,Lettie Bobadilla
Byron Balke,6636655737318,US,KCNMB3,Aica-Ribosiduria Due To Atic Deficiency,,M,45,45,100,Mitchel Lemley
Lauretta Depriest,5640786283268,US,KIF21A,MHC,,M,45,45,100,Pamila Campfield
Dominica Eldred,8563836000808,FR,HEY,Dowling-Degos Disease;Alzheimer Disease 18;Alzheimers Disease,13-Butadiene,M,45,45,100,Rafael Alderson
Al Agnew,0610268046406,RU,GJB1,Ceroid Lipofuscinosis;Neuronal;12;Parkinson Disease Type 9;Parkinsons Disease Show all 4,,F,45,45,100,Maisie Matinez
Page Blanke,7488365631561,FI,FGFR1OP2,Atrial Fibrillation;Familial;12;Coronary Artery Vasospasm;Cantu Syndrome,,F,45,45,100,Vikki Lamere
Jeremy Biel,0322668645157,NF,GREM1,Gnathodiaphyseal Dysplasia;Cohen Syndrome;Megalencephalic Leukoencephalopathy With Subcortical Cysts Show all 4,,M,45,45,100,Kenyetta Jungers
Edwin Boettger,4453137028160,NE,AASTH17,Aortic Valve Stenosis Hiv-1,Asphalt fumes,F,45,45,100,Genna Worster
Trudi Noonan,0061664822026,ER,ITIH4,Noonan Syndrome 7;Leopard Syndrome 3;Cardiofaciocutaneous Syndrome4,,F,45,45,100,Janey Hilgefort
Leonila Verrier,4551386507720,FI,FOXL1,Cutaneous Telangiectasia And Cancer Syndrome;Familial;Chronic Active Epstein-Barr Virus Infection;Seckel Syndrome Type 1,Toluene,F,45,45,45,Gia Hodak
Debroah Ellzey,5150717152807,IO,FGD4,Hiv-1,Formaldehyde,M,45,45,100,Adolph Kerwin
Bernardo Beno,2458311823570,NZ,GCG,Retinitis Pigmentosa 2 Retinitis Pigmentosa,Hydrogen sulfide,M,45,45,100,Taina Saxton
Clarine Crites,0026618320758,US,BAZ1B,Acute Insulin Response Hyperglycemia,,F,45,45,100,Cordie Zirkind
Mauro Aliff,0355636043705,FI,CRK,Isobutyryl-Coa Dehydrogenase Deficiency,Lead,F,45,45,100,Aretha Newlin
Mirna Cervantez,3426113777624,FI,ALL1,Congenital Stationary Night Blindness;Type 2B;Autosomal Recessive;Retinal Disease,Hydrogen sulfide,F,45,45,100,Cora Pond
Noe Westervelt,1562481825380,US,IDDM7,Autoimmune Disease 2 Scoliosis;Idiopathic 2,Solvents,M,45,45,100,Estell Hirt
Corinne Garzon,1028581374121,IR,KIF5B,Bardet-Biedl Syndrome 3;Retinitis Pigmentosa 55,,M,45,45,100,Skye Verdin
Diamond Verge,4235021164288,US,LAP,Huntingtons Disease,,F,45,45,100,Aliza Pauli
Todd Stannard,5315748174411,PM,HPCQTL19,Liver Cancer Noma,,F,45,45,45,Mozella Wan
Val Cusic,3220500001118,ET,HPC5,Familial Hypocalciuric Hypercalcemia Type 3;Hypercalcemia Show all 4,,F,45,45,100,Hermelinda Faw
Janel Veatch,4440282632083,RU,CD84,Joubert Syndrome 17;Orofaciodigital Syndrome 6;C5Orf42-Related Joubert Syndrome,Diesel exhaust,F,45,45,100,Rosella Won
Nu Clifford,4438405875663,BT,CIB2,Vertigo;Benign Recurrent;2,Hydrogen sulfide,F,45,45,100,Dinorah Mickey
Martine Modeste,6673573354644,AG,HSPA1L,Hiv-1,Chromium,F,45,45,100,Maida SpiekerBridget Greenwell
Bessie Manzanares,4606107653243,TW,IQSEC2,Congenital Disorder Of Glycosylation Type 1H,,M,45,45,45,Yuko Tapia
Vada GlickErma Rybak,8017346202178,CK,ABCD3,Burkitts Lymphoma Supravalvular Aortic Stenosis,Chromium,F,45,45,100,Willis Toone
Alfonso Widmer,6707843623446,RU,CPOX,Intrahepatic Cholangiocarcinoma,,M,45,45,100,Lakiesha Tillmon
Luisa Bade,8046748810126,VC,DLX5,Alcoholic Neuropathy;Hangover;Alcohol Sensitivity;Acute,Solvents,M,45,45,100,Shana Mayoral
Lashaunda Akin,6752355810484,RW,FOXC2,Isobutyryl-Coa Dehydrogenase Deficiency,Formaldehyde,F,45,45,100,Lyn Vansant
Joe Periera,2815233212603,CD,EIF2AK4,Glioblastoma,,F,45,45,100,Aisha Champine
Maryln Galyean,5556255762643,PN,CD68,Inflammatory Skin And Bowel Disease;Neonatal;1;Heterotaxy Dilated Cardiomyopathy,,F,45,45,100,Georgann Picard
Beatriz Ranger,3447346141652,NR,HCFC2,Osteoporosis,,F,45,45,45,Theodore Kincer
Novella Roby,8148741660286,US,ARL13B,Vitelliform Macular Dystrophy,Formaldehyde,M,45,45,100,Lidia Pilon
Felecia Violette,0032334861887,MK,COL9A1,Y Chromosome Infertility;Infertility Male Infertility,,F,45,45,100,Bronwyn Jarvie
Salvatore Pulsifer,2350002400754,KR,C4B,Scurvy;Pigmented Villonodular Synovitis Villonodular Synovitis,,F,45,45,100,Adell Segarra
Al Hardaway,1644764267802,NI,GSTM4,Hyperferritinemia Cataract Syndrome;X-Linked Sideroblastic Anemia X-Linked Sideroblastic Anemia With Ataxia,,F,45,45,100,Rosella Weissman
Delmy Squillace,4871305835321,FI,ACADS,Refractive Error,Diesel exhaust,F,45,45,45,Shalanda Stutz
Marcelino Salzman,1264282248211,WS,AQP9,Aldh18A1-Related Cutis Laxa;Autosomal Recessive;Type Iiia;Type Iiib Show all 4,,M,45,45,100,Elin Lemieux
Adell Matheson,1630108582573,RU,FOSB,Ciliary Dyskinesia;Primary;26;Prostate Cancer Ciliary Dyskinesia;11,Chromium,F,45,45,100,Felicia Macken
Faustino Coury,1304666850113,CI,ITIH4,Lung Cancer Patent Ductus Arteriosus,,M,45,45,100,Aretha Newlin
Herb Leland,4786738311683,LR,GNMT,C1S Deficiency;Acquired Angioedema;Capillary Leak Syndrome,Toluene,M,45,45,100,Roberta Quezada
Mariella Stermer,0845172506058,ID,CTPP,Aortic Valve Stenosis Hiv-1,,M,45,45,100,Georgann Picard
Ronna Tickle,1178150532630,FI,CHD4,Cerebrovascular Disease;Asthma;Osteoporosis,Lead,F,45,45,100,Trinh Lacasse
Vikki Lamere,7437501314155,MF,AASTH54,Liver Cancer,,F,45,45,100,Leonie Flach
Abe Miranda,2878118141554,JO,CFM1,Alzheimer Disease 17 Alzheimers Disease,,M,45,45,100,Afton Calnan
Skye Verdin,2732774158858,FI,DFNA24,Obesity Bmiq8,13-Butadiene,F,45,45,100,Martine Modeste
Ute Bufkin,4102847560875,CR,ITGA3,Cholera,Asphalt fumes,F,45,45,100,Margeret Heims
Asa Rhymes,7651723264430,FJ,FLCN,Glioblastoma,Hydrogen sulfide,F,45,45,100,Al Brabham
Frederic Hottle,5206801781225,RU,CD86,Breast Cancer,Asphalt fumes,F,45,45,100,Erick Bax
Bart Trott,3642383577363,FI,CHD8,Gastrointestinal Lymphoma,Beryllium,F,45,45,100,Deangelo Vestal
Earlie Mcray,3018553415641,FI,CCNDBP1,Leukemia/lymphoma;B-Cell;3;Chronic Lymphocytic Leukemia,13-Butadiene,F,45,45,100,Cesar Tesar
Katheryn Shatzer,4500150455543,LC,CDKN2B-AS1,Amyotrophic Lateral Sclerosis 5;Juvenile Recessive,,M,45,45,100,Page Blanke
Corrina Alexandre,5331730182450,SA,HMMR,Hypertension;Dyscalculia;Cerebral Palsy;Spastic Quadriplegic;1,Diesel exhaust,M,45,45,100,Felice Ohern
Viviana Millner,4248265643175,US,ANCR,Atherosclerosis;Gestational Diabetes;Hypertriglyceridemia Show all 4,,F,45,45,100,Morton Salazar
Fonda Millington,6476866426003,KI,C3orf58,Long Qt Syndrome;Acquired;Reduced;Long Qt Syndrome 2;Acquired Show all 4,Lead,M,45,45,100,Caroline Regan
Willy Horne,6182602253835,US,ABCA2,Dermatitis;Atopic 5;Atopic Dermatitis Dermatitis,Toluene,F,45,45,100,Yung Fitts
Deb Klar,1450103820155,FK,HSD17B1,Atrial Fibrillation;Familial;8,Toluene,M,45,45,100,Lyda Hardegree
Carl Gisi,0533785066382,CG,CORO1C,Dependent Personality Disorder,,M,45,45,100,Kenia Pahl
Noelia Quint,4874406377236,SO,FERMT3,Nephropathic Cystinosis,Methylene chloride,M,45,45,100,Naida Gosney
Michael Sustaita,2042104117048,RU,CEACAM6,Autism Susceptibility 6,Diesel exhaust,M,45,45,100,Beatriz Ranger
Nettie Raub,4060213222187,BE,CLN3,Osteoporosis,,F,45,45,100,Lauretta Depriest
Lyn Vansant,0004118224720,ZA,FOXJ1,Spindle Cell Hemangioma,Methylene chloride,F,45,45,100,Cherri Simons
Jodie Graves,4431316584047,US,DHS,Atrioventricular Septal Defect,13-Butadiene,M,45,45,100,Faustino Coury
Marta Mccammon,1543645485230,LR,FRAXF,Abdominal Obesity-Metabolic Syndrome 1 Obesity,,M,45,45,100,Elmo Quaranta
Willy Horne,6548272717476,RU,CLPTM1L,Non-Hodgkin Lymphoma Acute Myeloid Leukemia,Diesel exhaust,F,45,45,100,Ute Julio
Vikki Chaney,0872471885744,ST,CDH9,Ichthyosis;Congenital;Autosomal Recessive 7,Beryllium,F,45,45,100,Renea Moreira
Delisa Sorenson,7435568461412,FI,EPHB6,Ovarian Dysgenesis 2;Premature Ovarian Failure 4;Polycystic Ovary Syndrome,Lead,F,45,45,100,Joyce Harder
Laine Earnest,7772035417731,FI,DEGS1,Gastric Dilatation;Mucopolysaccharidosis Vi;Mucosulfatidosis Show all 4,Lead,F,45,45,100,Iesha Mcmahon
Kristopher Tingley,8742475528101,TJ,CECR5-AS1,Noonan Syndrome 7;Leopard Syndrome 3;Cardiofaciocutaneous Syndrome4,13-Butadiene,F,45,45,100,Aleida Sylvain
Suzanna Amar,8687426385545,FI,AASS,Alkaline Phosphatase;Plasma Level Of;Qtl 2,,M,45,45,100,Aretha Newlin
Shira Zeledon,3327038216242,RO,FSHB,Wiskott-Aldrich Syndrome,13-Butadiene,M,45,45,45,Tilda Gulledge
Faustino Coury,6684828536624,PN,BAI1,Marasmus;Kwashiorkor Neonatal Lupus Erythematosus,Diesel exhaust,M,45,45,100,Tanna Hargreaves
Bobbi Wilmes,8380030881572,PT,LEPQTL1,Nephropathic Cystinosis,,F,45,45,100,Inga Harte
Lavonne Rosebrook,0835357084653,MP,CIDEA,Abdominal Aortic Aneurysm,,F,45,45,100,Violeta Allsup
Cinthia Lichtman,5042251178106,IS,DIRAS1,Basal Cell Carcinoma 6 Basal Cell Carcinoma,13-Butadiene,F,45,45,45,Bernardo Beno
Ronna Tickle,2572740127554,GB,CRISP3,Burkitts Lymphoma Supravalvular Aortic Stenosis,,F,45,45,100,Douglas Mcelyea
Lakiesha Tillmon,6061023141074,US,COQ6,Lupus Nephritis Bacterial Meningitis,,M,45,45,100,Gaylene Mcneese
Brenda RubinoJona Goldsmith,0378422141875,PG,FCRL5,Moyamoya Disease - Short Stature - Facial Dysmorphism - Hypergonadotropic Hypogonadism T-Cell Prolymphocytic Leukemia,,M,45,45,100,Georgetta Chynoweth
Georgann Picard,2826518232534,NF,ERCC4,Osteoporosis,,F,45,45,100,Misha Sanmiguel
Krissy Dow,7181132535750,KE,CALB2,Branchiootic Syndrome 2 Branchiootic Syndrome,Beryllium,F,45,45,100,Layne Garica
Bronwyn Jarvie,7103421402411,FI,ADM,Leukemia;Acute Myeloid;With Eosinophilia Leukemia,Asphalt fumes,M,45,45,45,Clarine Crites
Arminda Travers,5683765538171,US,COX14,Colorectal Cancer,,F,45,45,100,Alfonso Widmer
Adriana Helt,1818014410253,US,DACT1,Colonic Benign Neoplasm;Laryngeal Squamous Cell Carcinoma;Laryngeal Carcinoma,Metals toxic,F,45,45,45,Marcelene Dials
Lakiesha Tillmon,0580252824242,VC,FOXH1,Capillariasis;Hypertension;Exhibitionism,,F,45,45,100,Lorean Hazelton
Margarett Eastland,7661547645550,RU,GPC2,Colon Cancer,,M,45,45,45,Beatriz Ranger
Cathleen Wilmoth,3400256580023,FI,GDF1,Dermatitis;Atopic 7 Dermatitis,,F,45,45,100,Gertie McmonagleWayne Passman
Maisie Matinez,3468351201284,NO,IL3,Autism Susceptibility 5,,F,45,45,45,Suzanna Amar
Delorse Holquin,3624448112757,IS,CLDN10,Uterine Corpus Cancer,,M,45,45,100,Candace Prescott
Kathey Bolton,6086367025022,RU,DAZAP2,Eccrine Porocarcinoma,,F,45,45,100,Chrystal Steenbergen
Inga Harte,5341618442745,TJ,CHST1,Huntington Disease-Like Syndrome Due To C9Orf72 Expansions;C9Orf72-Related Amyotrophic Lateral Sclerosis/frontotemporal Dementia;Ftdals1,Beryllium,M,45,45,100,Lashawnda Reaux
Aisha Champine,2821761410186,US,CDCA5,Dystrophinopathies Arrhythmogenic Right Ventricular Cardiomyopathy,,F,45,45,100,Lakiesha Tillmon
Rochell Sandor,1621067211040,EG,ATP1A2,Fibrodysplasia Ossificans Progressiva Osteochondroma,,M,45,45,100,Adriana Helt
Kenda Mcgowan,5328211481565,TK,KCNJ3,Adenoma;Deafness;Digenic;Gjb2/gjb3 Deafness;Autosomal Recessive 44,Methylene chloride,F,45,45,100,Mariella Stermer
Iesha Mcmahon,6801111402700,SN,KIR2DL3,Asphyxia Neonatorum;Homocarnosinosis;Gaba Aminotransferase Deficiency,,M,45,45,100,Caryn Brady
Ute Julio,8100852784721,PY,ANIB6,Sporadic Breast Cancer,Hydrogen sulfide,F,45,45,100,Juliann Burling
Olin Drye,8844756151123,US,ENSG00000228913,Retinal Vasculitis Rheumatic Disease,,F,45,45,100,Von Scharf
Rosio Sivils,5545832523273,FI,ERC1,Mesangioproliferative Glomerulopathy;Microvascular Complications Of Diabetes 3;Neurosarcoidosis1,,M,45,45,100,Frederic Hottle
Melida Donaldson,8837413765305,FI,IFNA10,Attention Deficit Hyperactivity Disorder,,F,45,45,100,Lidia Pilon
Rafael Alderson,3002322266738,FI,FXN,Colorectal Adenocarcinoma,,F,45,45,100,Adriana Helt
Ute Julio,1480070017272,US,ACRV1,Congenital Aphakia Anterior Segment Mesenchymal Dysgenesis,13-Butadiene,F,45,45,45,Jodie Graves
Genie Kolman,3242235524186,CG,ADPGK,Complement Component 8 Deficiency Type 2 Complement Component 5 Deficiency,,F,45,45,100,Rona Redner
Adrianne Krom,1061281322861,SG,HMGA2,Hordeolum,Chromium,M,45,45,100,Jodie Graves
Clarine Crites,8067110730185,MU,HPC10,Hordeolum,,F,45,45,100,Sol Loper
Candi Rux,3632585101454,FI,DUP2Q31.1,Borjeson-Forssman-Lehmann Syndrome,,F,45,45,100,Noemi Gayles
Chandra Belgrave,0441506746245,GR,CHL1,Chromosome 11Q Deletion;Ataxia Telangiectasia;Mantle Cell Lymphoma,Arsenic,F,45,45,100,Keeley Gorney
Reed Ehlert,7653273281314,US,CPP,Hordeolum;Laryngeal Disease;Myocardial Infarction Show all 4,,F,45,45,100,Gia Hodak
Ronna Tickle,0813108152277,TV,DUP18PDEL18Q,Hyperargininemia,Arsenic,M,45,45,45,Liza Sweatman
Zelda Hadaway,8646601350670,HK,HTR1D,Alzheimers Disease Alzheimer Disease Type 5,Diesel exhaust,M,45,45,100,Annmarie Mcnelly
Lesia Messing,8556442821453,AN,CDAGS,Type 1 Diabetes Mellitus Monogenic Diabetes,,M,45,45,100,Brenda RubinoJona Goldsmith
Delorse Holquin,7325742852133,FI,CORO1A,Autosomal Recessive Spastic Paraplegia Type 66;Xerophthalmia Relapsing Fever,Metals toxic,F,45,45,100,Nidia Schaub
Valerie Boykins,4424456836631,MM,DLEU2,Sphingolipidosis;Obstructive Jaundice;Farber Lipogranulomatosis,Beryllium,M,45,45,100,Al Brabham
Lynn Caminiti,5441136728152,MG,CLK1,Albinism;Oculocutaneous;Type Vii;Albinism Oculocutaneous Albinism,,M,45,45,100,Thora Krikorian
Cora Pond,8300631464761,FI,4-Feb,Mental Retardation;X-Linked 29 And Others;Mental Retardation Borjeson-Forssman-Lehmann Syndrome,Chromium,M,45,45,100,Aliza Pauli
Bradford Hugley,1482756877843,FI,BDET,Breast Cancer,,F,45,45,100,Cassi Camacho
Simone Schumacher,7503626565723,AX,GSTP1,Alzheimers Disease Myositis,,M,45,45,100,Jere Sakata
Terrance Ormond,8625645437345,FI,DHH,Ectopia Lentis Et Pupillae;Adamtsl4-Related Eye Disorders;Isolated Autosomal Recessive,,M,45,45,100,Francina Fresquez
Clarine Crites,2376404703353,FI,KIF1C,Severe Acute Respiratory Syndrome,Formaldehyde,M,45,45,100,Kristopher Tingley
Fabiola Hust,4525343824680,US,CCL8,Caudal Duplication;Hepatocellular Carcinoma;Somatic;Liver Cancer,Solvents,F,45,45,100,Earl Caddell
Rosella Won,4670507423062,VC,COL6A3,Chronic Lymphocytic Leukemia;Melanoma;Testicular Cancer,,M,45,45,100,Joan Everitt
Carletta Houde,0330633818526,US,COL5A2,Familial Hypocalciuric Hypercalcemia Type 3;Hypercalcemia Show all 4,Formaldehyde,F,45,45,100,Juliann Burling
Willis Toone,5881065702007,FI,GNRHR,Long Qt Syndrome;Acquired;Reduced;Long Qt Syndrome 2;Acquired Show all 4,,F,45,45,100,Olympia Swartwood
Janelle Muhammad,0560254536442,US,KMT2B,Thyrotoxic Periodic Paralysis Megalencephalic Leukoencephalopathy With Subcortical Cysts,,F,45,45,100,Jacki Moss
Merrilee Girton,6080135327704,US,DR1,Alzheimer Disease-14 Alzheimers Disease,,M,45,45,100,Jacquelynn Rosendahl
