Name, Identification Number,Country Code,Mutation,Locus,Disorder,Professional Exposure,Professional Exposure Time, Gender,Age,Age At Diagnosis,Age Of Death,Physician
Vicenta Brummett,2582450780450,RU,CDK6,Low Gamma-Gt Familial Intrahepatic Cholestasis,1p32.1,,45,F,45,45,100,Winter Weisser
Donnetta Doonan,5667430210580,JE,CRP,Bardet-Biedl Syndrome,14q32.33,,45,F,45,45,100,Shelba Neely
Earlie Friar,0870103721206,LA,DMAP1,Atrial Fibrillation,2q36.3,,45,M,45,45,100,Portia Frausto
Wyatt Lavery,4851437576330,LC,IL8,Arteritic Anterior Ischemic Optic Neuropathy,Xq21.33,Asphalt fumes,45,M,45,45,100,Cheryl Lyvers
Maximina Cefalu,7408663432432,WF,FGFBP1,And Cerebral Hypomyelination,22q13.1,,45,M,45,45,100,Claire Urias
Demetrice Linzey,7372810265127,GI,DIO1,Polymicrogyria,6q22.1,Asphalt fumes,45,F,45,45,100,Niki Michelle
Delmer Rippe,0533252630662,TG,DCN,Sickle Cell Disease Gonadoblastoma,1p31.3,13-Butadiene,45,F,45,45,100,Earlie Friar
Francisco Papadopoulos,0354615222872,LA,CECR3,Heroin Dependence,8p23.1,Diesel exhaust,45,F,45,45,45,Elisa Gose
Julissa Copeland,1712104145354,BO,COPB1,Iga Glomerulonephritis,10q11.21,,45,F,45,45,100,Tamika Liss
Marielle Pietrowski,8744380606843,CL,EDARADD,Bainbridge-Ropers Syndrome,1q32.1,13-Butadiene,45,F,45,45,100,Sophie Huntzinger
Janet Gaillard,0822238414478,SJ,DNASE2B,Asthma,17q12,,45,F,45,45,100,Alethea Spruill
Shavon Muma,3425457643075,FR,C5,Coats Disease Proteus Syndrome,Xq24,,45,M,45,45,100,Jon Hardaway
Boyce Filler,7786062384523,UZ,FOXM1,Arrhythmogenic Right Ventricular Dysplasia 3 Arrhythmogenic Right Ventricular Cardiomyopathy,16p11.2,Beryllium,45,F,45,45,100,Elayne Wenner
Deangelo Vestal,7861460425383,GY,HMGCR,2 Familial Atrial Fibrillation,17q23.1,Methylene chloride,45,M,45,45,100,Wyatt Lavery
Aide Holmgren,6055035461017,AE,IFNA7,Human T-Cell Leukemia Virus Type 1,16p11.2,Hydrogen sulfide,45,F,45,45,100,Isabelle Wassink
Kimiko Beard,0433227112854,VA,C3orf35,Hydrarthrosis,21q22.3,Methylene chloride,45,F,45,45,100,Iva Hovis
Cary Wenrich,3107506661555,GN,KIF20A,Ornithosis,2q33.2,,45,F,45,45,100,Bernadine Leis
Isabelle Gramling,1110553165107,SH,CTAA2,Breast Cancer,6q25.3,Asphalt fumes,45,M,45,45,45,Ismael Mcfaul
Dominga Schuldt,5678108375685,AI,ANAPC11,16P11.2 Deletion Syndrome Chromosome 16P11.2 Deletion Syndrome,8p23.1,Lead,45,M,45,45,100,Bertram Blumenfeld
Diann Schuch,4823128862143,FR,IL10,Dermatitis,16p13.3,,45,M,45,45,45,Jacki Moss
Georgetta Chynoweth,0246108257876,PW,HNRNPCL1,Uterine Fibroid,1q42.13,,45,M,45,45,100,Rosella Garbett
Tanna Hargreaves,3405000848183,MQ,CCNA1,Cutaneous Lupus Erythematosus,,,45,F,45,45,45,Josephine Bunner
Terrance Ormond,1322646126776,LU,HNRNPH1,Infantile Onset Spinocerebellar Ataxia Spinocerebellar Ataxia Type 8,12p11.21,,45,M,45,45,100,Yuko Tapia
Janet Gaillard,1652823006600,GF,INHBC,Refractive Error,14q13,,45,M,45,45,100,Vinita Moran
Darci Pleas,8657158014506,BO,ENSG00000225737,Dubin-Johnson Syndrome,3q12.3,13-Butadiene,45,F,45,45,100,Arminda Travers
Lynn Caminiti,7482170116442,AT,DEFA1A3,Cerebellar Ataxia,20q13.32,,45,M,45,45,100,Magen Luczak
Lynn Caminiti,8768652312140,RS,DEFA1,Foot And Mouth Disease,11q12.1,Diesel exhaust,45,F,45,45,100,Sage Amavisca
Enid Lague,1581561121120,AT,GPD2,Alzheimers Disease,9p21.3,Diesel exhaust,45,M,45,45,100,Josefine Villeneuve
Alina Finneran,6252734222023,GY,GRIN3B,Juvenile Myelomonocytic Leukemia Alpha Thalassemia,15q23,,45,F,45,45,100,Delmy Squillace
Shonna Mixer,1783806374617,RO,CDAGS,Cataract 33,4q27,Solvents,45,M,45,45,100,Elanor Brunet
Alethea Spruill,2811338434621,LU,EMILIN2,Osteopetrosis Show all 4,4p15.32,,45,F,45,45,100,Ismael Mcfaul
Garfield Tooker,3668525357634,CK,FOXO3,Lower Extremity-Predominant,Xq22.1,Metals toxic,45,M,45,45,100,Leena Harm
Adell Matheson,4238556701572,HM,CCR8,Systemic Lupus Erythematosus,6p21.32,13-Butadiene,45,M,45,45,45,Caroline Regan
Alejandra Walkes,4128436353411,ML,IDDM18,Amelogenesis Imperfecta,5q32,,45,M,45,45,100,Carmine Shanahan
Roberta Quezada,5151875358180,CD,CORO1B,Morgagni Cataract,5q33.1,,45,M,45,45,100,Al Brabham
Cecil Chiles,1873854681544,FI,CD5L,Vaccinia,9p13.3,,45,M,45,45,100,Juliann Burling
Imelda Mciver,1236386242318,ZW,AASTH21,Combined Malonic And Methylmalonic Aciduria Methylmalonic Acidemia,19p13.12,Hydrogen sulfide,45,M,45,45,100,Angelyn Romito
Glenna Schrimsher,2764686023546,AX,CRCS10,Split-Hand/foot Malformation 6 Cerebellar Medulloblastoma,3p24.3,Chromium,45,M,45,45,100,Palmer Blow
Noreen Sluss,8138060502327,NZ,AASTH48,Newborn Respiratory Distress Syndrome Right Bundle Branch Block,19q13.12,Arsenic,45,M,45,45,45,Lauryn Deputy
Aleida Sylvain,0181776717846,MG,ALDH3A2,Agtr1-Related,19q13.32,,45,M,45,45,100,Lahoma Laverriere
Lashunda Porta,7502210417141,AT,GOT2,Renal Cell Carcinoma,4q27,Beryllium,45,F,45,45,100,Aleshia Daw
Vicenta Brummett,8162537342811,CV,LAMB1,Essential Hypertension,6q25.1,,45,M,45,45,100,Viviana Millner
Glenna Schrimsher,8472087785752,ZM,FOXP1,Deafness,17q21.2,,45,M,45,45,100,Boyce Filler
Shira Zeledon,8550621642488,AN,CYP1A1,Breast Cancer Orchitis,Xq21.2,Chromium,45,M,45,45,100,Courtney Capozzoli
Roscoe Castille,0465787164436,SD,GCNT2,Shigellosis,7p15.2,Formaldehyde,45,M,45,45,100,Portia Frausto
Emelina Kappler,7312676135888,BZ,CYP2R1,Spastic Paraplegia 55,2q22.1,Chromium,45,M,45,45,100,Cecilia Muraoka
Dinorah Mickey,3376317540153,KP,BCL9L,Bornholm Eye Disease,12q13.13,,45,F,45,45,100,Rosella Won
Earlie Friar,2822158637543,KN,IMMT,Alzheimer Disease-14 Alzheimers Disease,22q11.1,Arsenic,45,M,45,45,45,Byron Balke
Marielle Pietrowski,3658776575113,BG,LAX1,Lung Squamous Cell Carcinoma,5q13.3,,45,F,45,45,100,Nicki Nevers
Salvatore Pulsifer,7267502001661,ET,CCL3L3,Hermansky-Pudlak Syndrome 9,16p11.2,,45,F,45,45,100,Aide Holmgren
Barry Almquist,1240422233686,CV,GPC4,Abdominal Aortic Aneurysm,17q25.3,,45,F,45,45,100,Rolande Troncoso
Cassi Wieder,3481605508471,BN,KCNMA1,Gnathodiaphyseal Dysplasia,7p21.2-p14.3,,45,M,45,45,100,Freda Roberts
Asa Rhymes,1868664762637,BD,FOXL2,Craniometaphyseal Dysplasia,11q23.3,,45,F,45,45,100,Ute Bufkin
Melina Botts,5470876477652,RU,ACVRL1,Pineocytoma Pineoblastoma,4q34.1,,45,F,45,45,100,Maximina Cefalu
Lyn Vansant,3456633687716,VI,APP,Myositis Ossificans,14q32.2,Asphalt fumes,45,M,45,45,100,Herb Leland
Rosella Won,3427874223811,RU,GIMAP5,Breast Cancer Orchitis,14q32.12,Metals toxic,45,M,45,45,100,Joellen Viloria
Aretha Newlin,7172004757281,FI,DHCR7,Testicular Gonadoblastoma,1p32.2,,45,M,45,45,100,Earl Caddell
Leena Stoneking,6237875787227,CO,AOC2,Crohns Disease,9p21.3,Formaldehyde,45,M,45,45,100,Simone Schumacher
Rosa Gish,5258383306002,PR,BRWD1,Retinitis Pigmentosa 17,4q22.3,,45,F,45,45,100,Jeffie Feltmann
Indira Cashin,6436683023811,MP,1-Dec,Iga Glomerulonephritis,1q44,,45,M,45,45,100,Angelyn Romito
Adelaide Grizzell,3348250831716,MW,AMELY,Cholera,19q13.41,,45,F,45,45,100,Boyce Filler
Lettie Bobadilla,1863122185204,GU,DHX9,Idiopathic Acute Transverse Myelitis,17q12,Metals toxic,45,M,45,45,100,Hermelinda Faw
Dusti Molinari,5550213027447,SL,KMT2D,Insulin Resistance,21q22.12,,45,M,45,45,100,Deb Bisbee
Carl Gisi,7531445800518,FJ,FEV,Mucopolysaccharidosis Type 6,17q21.3-q22,,45,M,45,45,100,Zora Estes
Noreen Sluss,2121333700850,KE,CD200,Non-Hodgkin Lymphoma Protein S Deficiency,12p12.1,Solvents,45,M,45,45,100,Franchesca Ramer
Chrystal Steenbergen,1745531334420,NI,ACTL7B,Systemic Lupus Erythematosus,16p12.3,Beryllium,45,M,45,45,45,Genaro Stang
Maribel Parras,5643771565883,MF,DYT21,Spinocerebellar Ataxia,7p21.1,Solvents,45,M,45,45,100,Dominga Schuldt
Mellie Suydam,5735655364343,CM,FGFRL1,Syringomyelia,6p22.2,Methylene chloride,45,F,45,45,100,Dinorah Mickey
Carletta Houde,1566325875675,MX,DIO1,Adiponectin Deficiency,14q12,Formaldehyde,45,F,45,45,45,Young Meriwether
Monroe Dewall,8287445246286,BL,KERA,Leukemia,13q33.2,Solvents,45,F,45,45,100,Adrianne Krom
Palmer Blow,2323811347020,BF,EPPIN,Axin2-Related Attenuated Familial Adenomatous Polyposis,,Methylene chloride,45,M,45,45,100,Boyce Filler
Miki Poindexter,0748660541110,MP,CRYGB,Combined,21q22.13,,45,M,45,45,45,Althea Larsen
Elfreda Ryan,7488427120006,MN,DTNBP1,Sporadic Breast Cancer,20q11.23,Methylene chloride,45,F,45,45,45,Kim Dang
Noemi Gayles,0442378375272,UG,LAMA3,Als2-Related Disorders,19q13.33,Formaldehyde,45,F,45,45,100,Veta Edinger
Marguerite Taliaferro,2017176513481,PH,KPNA3,Breast Cancer Acute Myeloid Leukemia,5q35.3,Chromium,45,M,45,45,100,Guillermo Seymore
Noreen Sluss,0277625227563,ET,ENSG00000226201,Hypokalemia,16q12.2,Solvents,45,F,45,45,45,Aretha Newlin
Lavada Lindstrom,8502014737387,UY,HYPLIP2,Hiv-1,6p21.32,Lead,45,M,45,45,100,Lesia Messing
Marielle Pietrowski,1405228580634,CF,COPD7,Wiskott-Aldrich Syndrome,2q11.2,Diesel exhaust,45,M,45,45,45,Verdell Bulman
Lilla Schreffler,4687777065857,SE,BCMO1,Autosomal Recessive 12,3q22.2,Metals toxic,45,F,45,45,100,Leena Stoneking
Carmine Shanahan,3454368571078,MC,GNMT,Bardet-Biedl Syndrome 4,HSCHR6_MHC_QBLp21.33,Formaldehyde,45,M,45,45,100,Cinthia Lichtman
Francie Harewood,6241050753101,MO,INTS8,Post-Traumatic Stress Disorder,20p13,,45,M,45,45,100,Luanne Turk
Frederic Hottle,3323350538600,BM,HESX1,Composite Lymphoma,9q22.33,Diesel exhaust,45,M,45,45,100,Enola Fleenor
Olin Drye,0806083481868,ZA,LBX2,Meckel Syndrome 1,10p11.23,,45,M,45,45,100,Sophie Huntzinger
Lyman Slavin,1666264451451,BY,IL2RA,Human T-Cell Leukemia Virus Type 1,12q23.2,,45,M,45,45,100,Layne Swearngin
Lori Mose,4735586674004,FI,FZD5,Autosomal Dominant 12,7q21.13,,45,M,45,45,100,Verdell Bulman
Liza Sweatman,8728577030806,GT,GS1-279B7.1,Complementation Group M,1q43,,45,F,45,45,100,Suzann Spafford
Dale Mccorkle,3077078435466,CG,FAM172A,Rectal Neoplasm,13q13.3,Metals toxic,45,F,45,45,45,Janet Gaillard
Audra Spore,5812032657751,GB,CDCA7,C7 Deficiency,12q14.1,,45,F,45,45,100,Doreen Mcbean
Felicia Macken,5342236558717,DO,CELF2,Cholera,5q31.3,,45,F,45,45,100,Lupita Peachey
Lidia Pilon,2647643375573,JP,EIF4A1,Hepatocellular Carcinoma,19p13.3,,45,M,45,45,100,Teresa Tinkham
Hayley Pickrell,6473762786607,CH,ILF2,Exophthalmos,14q32.11,,45,F,45,45,100,Luna Oloughlin
Carter Bergman,7158413813188,FI,CRTC3,Peroxisomal Disease,17q23.3,13-Butadiene,45,F,45,45,100,Lakiesha Tillmon
Rafael Alderson,7451885650118,BF,GART,Hermansky Pudlak Syndrome 2,5q13.3,,45,M,45,45,100,Hallie Englund
Lesia Messing,4767822247766,BB,CIRH1A,Mycobacterium Marinum,Xq27,Diesel exhaust,45,M,45,45,100,Rolf Kind
Daina Mcgreevy,0312166217331,DO,HNRNPCL1,Retinitis Pigmentosa 19,15q25.2,,45,F,45,45,100,Sharen Baran
Adelaide Grizzell,3578858467682,TR,IGHV4-31,Microvascular Complications Of Diabetes 3,9p21.3,Hydrogen sulfide,45,M,45,45,100,Teresa Tinkham
Renea Moreira,4358883282757,YT,COL4A4,Aneurysm,10q24.32-q25.1,,45,F,45,45,100,Carie Senecal
Zane Mellin,7281338318055,UY,HTR3C,Laryngeal Squamous Cell Carcinoma,5p15.31,Hydrogen sulfide,45,M,45,45,100,Larraine Bouska
Deb Klar,7112025361605,KZ,CD44,Pigmented Villonodular Synovitis Villonodular Synovitis,5q23.2,Beryllium,45,F,45,45,100,Stefania Sigler
Vikki Chaney,2828026476503,MY,FIS1,Alzheimers Disease Alzheimer Disease Type 5,1q21.2,Solvents,45,F,45,45,100,Herb Leland
Genaro Stang,3207643810382,CV,BFIS1,Fibular Aplasia,8q24.11,,45,F,45,45,100,Tilda Gulledge
Inga Harte,6165725574130,PR,ARHGEF19,Spinocerebellar Ataxia Type 28,12p12.1,Beryllium,45,M,45,45,100,Abe Miranda
Shameka Goudy,3166724418204,LV,KRT72,Alcoholic Neuropathy,7q32.1,Hydrogen sulfide,45,M,45,45,100,Frederic Hottle
Mauro Aliff,2026023518804,WS,HLA-DRB9,Anorexia Nervosa 1 Anorexia Nervosa,1q24.2,,45,M,45,45,100,Amparo Hamp
Beatriz Ranger,2666668802610,PF,DNAJC13,Saethre-Chotzen Syndrome,1p22,,45,F,45,45,100,Isiah Campa
Lexie Gillins,7065433146620,VA,HABP2,Temtamy Syndrome,Xq28,,45,F,45,45,45,Carie Senecal
Tiny Habib,8547481816841,SO,ADSL,Adenocarcinoma,10q23.2,,45,F,45,45,100,Nyla Rolle
Miki Poindexter,2845824651136,MR,BVR1,Fetal Alcohol Syndrome,5q31.2,,45,F,45,45,100,Reinaldo Ye
Suzann Spafford,6154815446323,FM,AASTH25,Type 8,19p13.3,Formaldehyde,45,F,45,45,100,Adrianne Krom
Nu Clifford,2454671080041,MC,CHAT,Ischemic Optic Neuropathy Acute Myeloid Leukemia,11q22.3,Toluene,45,F,45,45,100,Cletus Fann
Juliann Burling,1100402880418,ES,BRCA3,Velocardiofacial Syndrome Alzheimers Disease,5q11.2,,45,F,45,45,100,Chandra Belgrave
Joan Everitt,2654470607527,UA,BEST2,Hereditary Hemorrhagic Telangiectasia,10q26.13,,45,M,45,45,100,Lavonne Rosebrook
Kathey Bolton,5102702301144,NF,CIB2,Hypersomnia,2p21,,45,F,45,45,45,Stefania Sigler
Rolf Kind,6620483166363,CK,HCN4,Uveal Melanoma,17p13.2,,45,F,45,45,45,Luanne Turk
Daina Mcgreevy,4324112753440,MC,AGGF1,Mosaic Variegated Aneuploidy Syndrome 1,6q12-q16,,45,F,45,45,100,Debi Retherford
Ami Lampkin,7452473088484,PF,KISS1,Schizophrenia,19q13.2,Toluene,45,F,45,45,45,Leena Harm
Luisa Bade,8675332408068,HR,CEACAM16,Ulcerative Colitis,2p21,Metals toxic,45,F,45,45,100,Yung Fitts
Magda Edmund,0785152113681,MP,CYLD,Hydrarthrosis,5q35.3,Asphalt fumes,45,M,45,45,100,Elisha ModlinKathleen Lavoie
Newton Fiscus,3621843204731,MD,ETV3,Nuclear Type 1,7q36.1,,45,M,45,45,100,Phillis SolizCrissy Mcclinton
Liza Aubin,6657030815007,OM,CARD17,Thyroid Adenoma Precocious Puberty,16q24.1,Toluene,45,F,45,45,100,Tamika Grange
Luanne Creamer,2886041864124,CM,DGUOK,3 Methylglutaconic Aciduria Type I Leigh-Like Syndrome,8p11.21,,45,F,45,45,100,Isiah Campa
Janey Hayslip,3371378307534,ID,CMAHP,Williams-Beuren Syndrome,15q21.1,Formaldehyde,45,M,45,45,100,Newton Fiscus
Trudi Noonan,0123683156477,MW,CHDT3,Asthma,1p13.3,Solvents,45,F,45,45,100,Barry Almquist
Alanna Blanton,8587801225031,KZ,GSR,Appendix Adenocarcinoma,11q12.1,,45,F,45,45,100,Noelia Quint
Bernardine Stansfield,8657584520854,VI,CASP4,Acute Neonatal Citrullinemia Type I,7p22.3,Chromium,45,F,45,45,100,Val Cusic
Ardella Truluck,2083615027632,DO,CP,Bainbridge-Ropers Syndrome,19q13.42,Lead,45,M,45,45,45,Carter Bergman
Bertram Blumenfeld,0351305766316,AL,GPR75,Acute Lymphoblastic Leukemia Lymphoblastic Leukemia,5q33.1-q35.2,,45,F,45,45,100,Aleida Sylvain
Lakiesha Tillmon,6240473328566,HN,AK2,Adenoma,14q32.31,Metals toxic,45,M,45,45,100,Shana Mayoral
Josefine Villeneuve,1805305576518,KW,IFI30,Leukemia Shwachman-Diamond Syndrome,Xq28,Diesel exhaust,45,F,45,45,100,Elmo Quaranta
Celestine Bird,0163621261123,ES,KLF9,Dowling-Degos Disease,Xq25-q26|Xq26.3-q27.1,,45,F,45,45,100,Jill Hinesley
Keeley Gorney,6768486428017,IN,IL13RA1,Quadriplegia,16p13.3,Methylene chloride,45,M,45,45,100,Rosella Weissman
Otelia Vreeland,1145063880864,MS,CD46,Alzheimer Disease-7 Alzheimers Disease,12p13.33,13-Butadiene,45,M,45,45,100,Mariella Stermer
Kenda Mcgowan,6853212870704,TL,KAZA3,Cone-Rod Dystrophy 16,12q13.2,Beryllium,45,M,45,45,100,Odette Korth
Audra Spore,5331404454455,TV,APOC3,Uterine Fibroid,16q22.1,Beryllium,45,F,45,45,100,Todd Stannard
Viviana Millner,5008273450254,DJ,HOXD11,Amyotrophic Lateral Sclerosis 5,12q23.2,,45,F,45,45,100,Cecilia Muraoka
Alina Finneran,8172123617270,UZ,BCL2L1,Joubert Syndrome,14q32.33,Solvents,45,M,45,45,100,Yung Fitts
Renea Moreira,3740132387725,FO,ACE2,Urinary Tract Obstruction,HSCHR6_MHC_MANNp21.32,Hydrogen sulfide,45,F,45,45,100,Keeley Gorney
Edgardo Karst,4116688741662,GY,GJD2,Spinocerebellar Ataxia Type 6,4p16.3,,45,F,45,45,45,Chrystal Steenbergen
Chang Leclair,7864460185104,SG,HRH2,Long Qt Syndrome 2,2q13,Solvents,45,F,45,45,45,Florencio Poudrier
Lauretta Depriest,6584131201120,VA,IVNS1ABP,Fatty Acid Oxidation Disorders,1q21.1,Methylene chloride,45,F,45,45,100,Ayana Krupa
Enid Lague,6803281512626,TM,GSTM3,Primary Biliary Cirrhosis,17q21.33,Arsenic,45,F,45,45,45,Adell Segarra
Ismael Mcfaul,1741615774223,UZ,KCNK4,Asthma-Related Traits 6 Asthma,15q12,Methylene chloride,45,F,45,45,100,Donnetta Doonan
Novella Roby,8340042348752,GE,AICDA,Anal Sphincter Dysplasia,6p21.2,Toluene,45,M,45,45,45,Genaro Stang
Keeley Gorney,0826870266663,SA,DUSP10,Anal Canal Carcinoma,18p11.2,,45,M,45,45,45,Barry Almquist
Cassi Camacho,5416866362346,PL,KRTAP11-1,Pineocytoma Pineoblastoma,20q13.33,,45,M,45,45,100,Carletta Houde
Elizabet Hafner,3187822677537,SL,DELYQ11,Adjustment Disorder,19q13.4,Beryllium,45,F,45,45,100,Gia Hodak
Suzanna Amar,6152132345556,AN,CHEK1,Jacobsen Syndrome,8p21.1,,45,F,45,45,100,Angelyn Romito
Jacquiline Brite,0627281705647,IN,CHRNA2,Systemic Lupus Erythematosus,1q21.3,,45,F,45,45,100,Olin Daugherty
Jacquelynn Rosendahl,4822548062587,GI,FAF2,Alzheimers Disease,19q13.32,Lead,45,F,45,45,100,Jennell Cupit
Lashunda Porta,8500526712147,TF,AMER1,Dubin-Johnson Syndrome,1q42.13,,45,F,45,45,100,Eusebia Romans
Lorean Hazelton,2087702745287,FR,KCNA3,Aortic Valve Stenosis Hiv-1,10q22-q24,,45,F,45,45,45,Layne Swearngin
Aleshia Daw,5131248840757,TD,ELMO1,Breast And Colorectal Cancer,9p13.3,Diesel exhaust,45,M,45,45,45,Dominga Schuldt
Elizabet Hafner,2335250871674,DO,DICER1,Breast Cancer Orchitis,7p14.1,Chromium,45,M,45,45,100,Pamala Delmont
Elmo Quaranta,3827288705724,MP,KRT85,Multifocal Choroiditis,6p21,,45,M,45,45,100,Stefani Bachicha 
Carletta Houde,4655886732165,BY,DFNB85,Neonatal Lupus Erythematosus,16q24.3,Solvents,45,F,45,45,100,Luisa Spainhour
Janey Hayslip,0466731437860,GH,AKR1C3,C1S Deficiency,18q21.3,Metals toxic,45,F,45,45,100,Cara Shelton
Detra Melanson,4068313131880,GA,IFNA8,Peters Plus Syndrome,1q21.3,13-Butadiene,45,F,45,45,100,Maida SpiekerBridget Greenwell
Cesar Tesar,1845206341826,MD,BOLA3,Autoimmune Disease 3 Vitiligo,19p13.3,Diesel exhaust,45,M,45,45,100,Cheryl Lyvers
Aisha Champine,4657703370135,GR,CCL21,Hereditary Hemorrhagic Telangiectasia,6p21.31,,45,F,45,45,100,Annmarie Sublett
Francisco Papadopoulos,8600558008152,ER,LETMD1,Prostate Cancer,5p13.2,,45,F,45,45,100,Virgina Line
Cletus Fann,3786276242134,MC,BRWD1,Spastic Paraplegia 3,14q11-q12,Diesel exhaust,45,M,45,45,100,Jeremy Biel
Deadra Yao,2442404303665,SM,FAP,Primary Biliary Cirrhosis,19q13.2,,45,F,45,45,45,Kathey Bolton
Chang Leclair,2433416052701,CK,AVIL,Severe Acute Respiratory Syndrome,2p11.2,,45,F,45,45,100,Alanna Blanton
Orville Stainback,1318563184055,NC,BMI1,Meningioma,11q22.3,,45,F,45,45,100,Melina Botts
Collin Sansom,2744175215270,EC,ATP1A3,Imperforate Anus Intestinal Atresia,16p11.2,Chromium,45,M,45,45,45,Annmarie Sublett
Florencio Poudrier,7012363648572,AL,CHRM2,Congenital Disorder Of Glycosylation Type 1I Myasthenia,19_GL000209.1,,45,M,45,45,100,Kenia Pahl
Noe Westervelt,6877234878802,BJ,HADH,Mycobacterium Marinum,4q35.1,Chromium,45,M,45,45,100,Winter Weisser
Shana Mayoral,5167638650853,ME,ECM1,Hiv-1,1p36,,45,M,45,45,45,Jennell Cupit
Liliana Mckean,3643568212450,PK,ALG14,Renal Oncocytoma Show all 4,7q31.1,Diesel exhaust,45,F,45,45,100,Lewis Agrawal
Liza Aubin,4628547723687,CD,DNMT3B,Choroid Plexus Carcinoma,9p13.3,Formaldehyde,45,F,45,45,100,Suzanna Amar
Mariella Stermer,1183660570607,CY,IK,Cat Eye Syndrome Talipes Equinovarus,4q25,,45,M,45,45,45,Janey Hilgefort
Marcelene Dials,6378540510144,SJ,ATF3,Breast Cancer Differentiating Neuroblastoma,4p15.32,,45,F,45,45,100,Angelyn Romito
Mariam Reneau,5285034702176,TJ,CDON,7 Aneurysm,2p13.1,Arsenic,45,F,45,45,45,Rolf Kind
Luanne Turk,8534226773663,EG,HSPA1A,Coffin-Lowry Syndrome,4p15.31,,45,M,45,45,100,Anjelica Danford
Bessie Manzanares,7402755468558,SG,GLC1P,Loiasis Urinary Schistosomiasis,10q24.1-q25.1,,45,M,45,45,100,Giuseppina Krell
Enid Lague,5345705532862,CO,BPI,Benign Familial Infantile,10q26.11,Formaldehyde,45,M,45,45,100,Debroah Ellzey
Owen Seidman,0631847186653,NF,CCNG2,Prostate Carcinoma In Situ Liver Cancer,19q13.2,,45,F,45,45,100,Cordie Zirkind
Kenia Pahl,8322582548668,GF,KRT34,Gracile Syndrome,1q21.3,Solvents,45,M,45,45,100,Antonetta Osier
Magda Edmund,7702554201227,GI,ARG1,Attention Deficit Hyperactivity Disorder,12q22,Formaldehyde,45,F,45,45,100,Delmy Squillace
Ayana Krupa,2515108237322,ML,CDY1,Coffin-Siris Syndrome,8p12,Beryllium,45,F,45,45,100,Rosalie Sellers
Irena Fabrizio,6777757118603,PT,ADH5,Insulin Resistance,9q34.3,Beryllium,45,F,45,45,100,Kenyatta Marksberry
Doreen Mcbean,1740067501820,KG,ATP5E,Congenital Anosmia,9p22,,45,F,45,45,100,Cecilia Muraoka
Detra Melanson,0044215805280,SA,GSTA2,Whim Syndrome,6q25.3,,45,M,45,45,45,Noelia Quint
Pamila Campfield,6808664088834,BV,CNTN2,Autism Susceptibility 7,3q26.33,Arsenic,45,F,45,45,45,Liza Sweatman
Vito Nitz,6051564658058,BL,DFNA30,Adenosine Deaminase Deficiency Show all 4,21q22.3,Methylene chloride,45,M,45,45,100,Bronwyn Jarvie
Francina Fresquez,4546133251477,GT,INS,Autosomal Recessive,11p11.2,,45,M,45,45,100,Willis Toone
Gracie Test,2686258865335,TF,EEF1A1,Arrhythmogenic Right Ventricular Dysplasia 3 Arrhythmogenic Right Ventricular Cardiomyopathy,19q13.42,Formaldehyde,45,M,45,45,100,Al Brabham
Elizabet Hafner,0306555566468,SY,CNR2,Hypoxia,19p13.2,Arsenic,45,F,45,45,100,Olin Daugherty
Leonie Flach,0546406567217,AL,GATA2,Fetal Alcohol Spectrum Disorder,1q21.3,,45,F,45,45,100,Ruthe Dazey
Hermelinda Faw,6227484684735,GF,ATF5,Thyrotoxic Periodic Paralysis,5q31.1-q32,Arsenic,45,M,45,45,45,Francisco Papadopoulos
Una Castiglione,0727304432424,SZ,ENSG00000237825,Distal,1p36.21,Arsenic,45,F,45,45,100,Cora Pond
Cathleen Wilmoth,0126357280528,NF,CCL3L3,Argininosuccinic Aciduria,2q12.1,,45,F,45,45,100,Shonna Mixer
Roberto Mangum,4668040405321,CY,HJURP,Thalassemia,7q11.21,Metals toxic,45,F,45,45,100,Wynona Doby
Brianna Keltz,5363077876648,MT,HYD2,Breast And Colorectal Cancer,10q21.1,,45,M,45,45,45,Cordie Frederic
Rosella Garbett,3414466115383,AG,INTLQ2,Asparagine Synthetase Deficiency,8q23.3,Toluene,45,F,45,45,100,Leena Harm
Shameka Goudy,8244754765455,GF,BCOR,Aortic Aneurysm,1p31.3,Asphalt fumes,45,F,45,45,100,Denisha Snelgrove
Fabiola Hust,1786762382047,CD,KWE,Melanoma,20p13,,45,F,45,45,100,Johanna Cournoyer
Aisha Champine,2213042227074,BE,EFHC1,Limbic Encephalitis,Yq,Solvents,45,M,45,45,100,Audra Spore
Jenni Ruple,3237652467310,ST,FAM9A,Renal Oncocytoma Show all 4,3q24,,45,M,45,45,100,Byron Balke
Von Scharf,3432150328808,NE,ARF6,Colon Cancer Show all 4,22q12.3,Hydrogen sulfide,45,M,45,45,100,Olin Drye
Cara Shelton,5401447685238,NR,EXT2,Pigmented Villonodular Synovitis Villonodular Synovitis,8p11.23,,45,M,45,45,45,Irena Fabrizio
Racquel Dragoo,2685370687613,CX,CETP,Erythroplakia Gallbladder Adenocarcinoma,1p36.33,,45,F,45,45,100,Cara Shelton
Wynona Doby,3313263143281,CA,ACOX1,Regular Astigmatism,19p13.12,Lead,45,M,45,45,100,Deadra Yao
Chandra Belgrave,7818285263672,MH,GSAP,Hyperleucine-Isoleucinemia Hypervalinemia Or Hyperleucine-Isoleucinemia,Xp22.33,,45,M,45,45,45,Lucie Farnsworth
